Place Name,Latitude,Longitude,Interest
Bhandardara Fireflies Festival,19.554,73.7512, Nature
Chitrakoot,25.1918,80.8758, Religious
Aurangabad Bibi Ka Maqbara,19.8762,75.358, Historical
Kodaikanal Coaker's Walk,10.2322,77.4854, Scenic
Nathula Pass,27.4156,88.935, Adventure
Shimla Christ Church,31.1048,77.1734, Religious
Gangtok Nathula Pass,27.4166,88.9446, Scenic
Halebidu Hoysaleswara Temple,13.222,75.9936, Religious
Amritsar Wagah Border,31.6033,74.9425, Cultural
Bodh Gaya Bodhi Tree,24.6965,84.9918, Spiritual
Madurai Thirumalai Nayakkar Palace,9.9252,78.1197, Historical
Chail Cricket Ground,30.9656,77.1741, Adventure
Chandigarh Rock Garden,30.751,76.809, Art and Culture
Panchgani,17.9214,73.7929, Hill Station
Hemis Hemis Festival,33.9839,77.756, Cultural
Agumbe Rainforest Research Station,13.5066,75.091, Nature
Rajahmundry Pushkar Ghat,16.9844,81.7833, Religious
Mysore Jayalakshmi Vilas Mansion,12.2958,76.6394, Historical
Sarnath,25.385,83.024, Religious
Alibaug,18.6487,72.874, Beach
Jaisalmer Gadisar Lake,26.9124,70.9126, Scenic
Shimoga Jog Falls,14.2477,74.7465, Waterfall
Bundi,25.4381,75.6374, Historical
Rishikesh Triveni Ghat,30.1055,78.3081, Spiritual
Majuli Island,26.9835,94.2252, Scenic
Chopta,30.409,79.194, Trekking
Karnataka Udupi Krishna Temple,13.3409,74.7497, Religious
Bhandardara Randha Falls,19.554,73.7512, Waterfall
Shimla Kufri,31.0972,77.2674, Adventure
Daman and Diu,20.4283,72.8397, Beach
Kolkata Maidan,22.5535,88.343, Recreation
Bikaner Karni Mata Temple,27.9159,75.8168, Religious
Vadodara Laxmi Vilas Palace,22.3107,73.1752, Historical
Rishikesh Neelkanth Mahadev Temple,30.0864,78.2676, Religious
Tirunelveli Nellaiappar Temple,8.7242,77.6844, Religious
Chandipur Beach,21.4687,87.0296, Beach
Deoghar Baidyanath Jyotirlinga,24.4915,86.6876, Religious
Nagapattinam Velankanni Church,10.6748,79.8382, Religious
Aurangabad Daulatabad Fort,19.94,75.2544, Historical
Chandigarh Sukhna Lake,30.737,76.793, Recreation
Kasol Parvati Valley,32.009,77.315, Adventure
Bhubaneswar Lingaraj Temple,20.2666,85.8439, Religious
Pachmarhi Bee Falls,22.4674,78.4344, Waterfall
Chitradurga Fort,14.2275,76.4007, Historical
Lansdowne,29.8375,78.6879, Hill Station
Tirupati Kapila Theertham,13.6313,79.4206, Religious
Mandvi Beach,22.8265,69.3558, Beach
Jhansi Fort,25.4526,78.5645, Historical
Badrinath,30.7437,79.4937, Religious
Silent Valley National Park,11.1261,76.4305, Wildlife
Kolkata Science City,22.5412,88.3434, Science and Technology
Pune Shaniwar Wada,18.5196,73.8553, Historical
Tiruvannamalai Girivalam,12.2266,79.0671, Spiritual
Bijapur Gol Gumbaz,16.8341,75.71, Historical
Kutch Kalo Dungar,23.6236,70.4116, Scenic
Dehradun Robber's Cave,30.415,78.1024, Nature
Rameswaram Agnitheertham,9.2876,79.3129, Religious
Gokarna Mahabaleshwara Temple,14.5501,74.3144, Religious
Kochi Jew Town,9.9583,76.2425, Cultural
Chandigarh Capitol Complex,30.7597,76.787, Architecture
Palitana Shatrunjaya Hill,21.5159,71.8254, Religious
Munnar Mattupetty Dam,10.1228,77.1531, Scenic
Pune Osho Ashram,18.5073,73.9119, Spiritual
Gulmarg Apharwat Peak,34.0483,74.3774, Adventure
Digha Marine Aquarium and Research Centre,21.625,87.5079, Science and Technology
Champaner-Pavagadh Archaeological Park,22.4725,73.471, Historical
Rishikesh Beatles Ashram,30.1055,78.3081, Cultural
Aurangabad Aurangabad Caves,19.8762,75.358, Historical
Madurai Gandhi Memorial Museum,9.9337,78.1226, Museum
Kolkata Marble Palace,22.5904,88.3612, Historical
Dhanushkodi Ghost Town,9.1655,79.4477, Historical
Hampi Virupaksha Temple Hampi,15.335,76.4626, Religious
Kolkata Nakhoda Mosque,22.5683,88.3446, Religious
Kanatal,30.3894,78.3222, Hill Station
Shillong Elephant Falls,25.2441,91.7742, Waterfall
Nahan Rani Tal,30.5568,77.2946, Scenic
Kolkata Jorasanko Thakur Bari,22.5924,88.3662, Cultural
Pune Aga Khan Palace,18.5443,73.903, Historical
Manas Wildlife Sanctuary,26.6683,91.1409, Wildlife
Kolkata St. Paul's Cathedral,22.5567,88.3519, Religious
Pahalgam Betaab Valley,33.9668,75.2444, Scenic
Pushkar Savitri Temple,26.4895,74.5521, Religious
Horsley Hills,13.7442,78.2678, Hill Station
Aurangabad Salim Ali Lake and Bird Sanctuary,19.8869,75.3496, Wildlife
Kolkata South Park Street Cemetery,22.5457,88.3544, Historical
Tarkarli Tsunami Island,16.0079,73.4791, Scenic
Pithoragarh,29.5803,80.2183, Hill Station
Udupi Malpe Beach,13.3492,74.7036, Beach
Kolkata Alipore Zoo,22.5261,88.3316, Wildlife
Agatti Island,10.8231,72.1782, Scenic
Haridwar Mansa Devi Temple,29.9475,78.1656, Religious
Ranikhet Binsar Wildlife Sanctuary,29.6877,79.6461, Wildlife
Mandvi Vijay Vilas Palace,22.8333,69.3526, Historical
Tirunelveli Kanthimathi-Nellaiyapper Temple,8.7222,77.6835, Religious
Auli Gorson Bugyal,30.3362,79.3668, Trekking
Hemis Hemis Monastery Festival,33.9839,77.756, Cultural
Daman and Diu Jampore Beach,20.3973,72.8321, Beach
Digha New Digha Sea Beach,21.6305,87.5059, Beach
Kolkata Birla Mandir,22.5341,88.3517, Religious
Chittorgarh Vijay Stambh,24.8799,74.625, Historical
Tirupati Akasa Ganga,13.6313,79.4206, Religious
Kochi Paradesi Synagogue,9.9595,76.2592, Religious
Rishikesh Lakshman Jhula,30.134,78.3215, Scenic
Wayanad Banasura Sagar Dam,11.6291,75.9777, Scenic
Jaipur Jantar Mantar,26.9242,75.8238, Historical
Coorg Abbey Falls,12.4763,75.726, Waterfall
Ahmedabad Sabarmati Ashram,23.0275,72.5873, Historical
Nagapattinam Nagore Dargah,10.762,79.8456, Religious
Shimla The Ridge,31.1048,77.1734, Scenic
Hampi Lotus Mahal,15.335,76.4626, Historical
Kolkata Howrah Railway Station,22.5726,88.3476, Historical
Mumbai Chhatrapati Shivaji Terminus,18.9401,72.8358, Historical
Jaisalmer Jaisalmer Fort,26.9124,70.9126, Historical
Lakshadweep Agatti Island,10.8231,72.1782, Scenic
Kolkata Fort William,22.558,88.3392, Historical
Hyderabad Charminar,17.3616,78.4747, Historical
Amritsar Golden Temple,31.62,74.8765, Religious
Puri Jagannath Temple,19.8133,85.8315, Religious
Khajuraho Western Group of Temples,24.8516,79.9182, Historical
Leh Magnetic Hill,34.0776,77.5619, Scenic
Jodhpur Umaid Bhawan Palace,26.2981,73.0479, Historical
Pune Raja Dinkar Kelkar Museum,18.5088,73.8671, Museum
Kolkata Belur Math,22.6276,88.3473, Religious
Nainital Naina Devi Temple,29.403,79.4494, Religious
Varanasi Dashashwamedh Ghat,25.3054,83.0059, Religious
Darjeeling Tiger Hill,27.036,88.2627, Scenic
Kolkata Mother House,22.5453,88.3645, Religious
Agra Agra Fort,27.1751,78.0421, Historical
Jaipur Hawa Mahal,26.9239,75.8267, Historical
Rishikesh Parmarth Niketan Ashram,30.1207,78.3193, Spiritual
Mumbai Gateway of India,18.9217,72.834, Historical
Delhi India Gate,28.6139,77.2295, Historical
Ooty Rose Garden,11.4102,76.6951, Gardens
Mysore Mysore Palace,12.3051,76.655, Historical
Guwahati Kamakhya Temple,26.1584,91.7696, Religious
Kolkata Dakshineswar Kali Temple,22.6562,88.357, Religious
Mumbai Marine Drive,18.9438,72.8235, Scenic
Hyderabad Salar Jung Museum,17.3714,78.4804, Museum
Udaipur City Palace,24.5765,73.6838, Historical
Mysore St. Philomena's Church,12.3175,76.6548, Religious
Kolkata Birla Planetarium,22.538,88.3486, Science and Technology
Rishikesh Trimbakeshwar Temple,30.1047,78.2917, Religious
Varanasi Sankat Mochan Hanuman Temple,25.2985,83.0129, Religious
Kanyakumari Vivekananda Rock Memorial,8.0783,77.5344, Historical
Shillong Don Bosco Centre for Indigenous Cultures,25.5724,91.8821, Museum
Kolkata Eden Gardens,22.5646,88.3433, Sports
Puri Konark Sun Temple,19.8876,86.0923, Historical
Kolkata Nalban Boating Complex,22.5937,88.4283, Recreation
Delhi Qutub Minar,28.5244,77.1855, Historical
Khajuraho Duladeo Temple,24.8563,79.9245, Religious
Kolkata National Library,22.5371,88.3433, Library
Kochi Fort Kochi,9.9637,76.2422, Historical
Munnar Attukal Waterfalls,10.0748,77.0565, Waterfall
Lucknow Bara Imambara,26.8787,80.906, Historical
Pune Sinhagad Fort,18.3663,73.7559, Historical
Rishikesh Vashishta Gufa,30.1389,78.3423, Spiritual
Delhi Lotus Temple,28.5535,77.2588, Religious
Jaipur Albert Hall Museum,26.9124,75.7873, Museum
Mumbai Elephanta Caves,18.9647,72.9314, Historical
Shillong Shillong Peak,25.6236,91.8936, Scenic
Kolkata Nicco Park,22.564,88.3933, Amusement Park
Munnar Eravikulam National Park,10.156,77.0609, Wildlife
Kolkata Shaheed Minar,22.549,88.3513, Historical
Varanasi Assi Ghat,25.2984,83.0052, Spiritual
Hampi Hazara Rama Temple,15.335,76.4626, Historical
Delhi Humayun's Tomb,28.5933,77.2475, Historical
Guwahati Assam State Zoo,26.1466,91.7761, Wildlife
Pune Saras Baug,18.5051,73.8516, Park
Lucknow Dr. Ram Manohar Lohia Park,26.8472,80.944, Park
Kochi Cherai Beach,10.128,76.2034, Beach
Shillong David Scott Trail,25.5661,91.8821, Trekking
Khajuraho Kandariya Mahadeva Temple,24.8506,79.9243, Religious
Delhi Red Fort,28.6562,77.241, Historical
Mysore Karanji Lake,12.2924,76.6464, Nature
Rishikesh The Beatles Ashram,30.1055,78.3081, Cultural
Goa Basilica of Bom Jesus,15.5015,73.9115, Religious
Kolkata Salt Lake Stadium,22.5886,88.4173, Sports
Darjeeling Peace Pagoda,27.0179,88.2256, Religious
Jaipur Nahargarh Fort,26.9483,75.8069, Historical
Mumbai Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,18.9261,72.8325, Museum
Lucknow Lucknow Residency,26.8804,80.909, Historical
Varanasi Durga Temple,25.2872,82.9963, Religious
Shillong Lady Hydari Park,25.5797,91.8781, Park
Mumbai Sanjay Gandhi National Park,19.206,72.9115, Wildlife
Hampi Monkey Temple,15.335,76.4626, Religious
Delhi Jama Masjid,28.6507,77.2334, Religious
Shimla Kiala Forest,31.1048,77.1734, Nature
Pune Pataleshwar Cave Temple,18.5204,73.8567, Historical
Munnar Kolukkumalai Tea Estate,10.0902,77.2186, Plantation
Rishikesh Swarg Ashram,30.1228,78.3255, Spiritual
Agra Jama Masjid,27.1767,78.0218, Religious
Varanasi Alamgir Mosque,25.3053,83.0051, Religious
Lucknow British Residency,26.8664,80.9491, Historical
Jaipur Jaigarh Fort,26.9496,75.8302, Historical
Pondicherry Auroville,12.0056,79.81, Spiritual
Mysore Chamundi Hills,12.2824,76.6179, Scenic
Shillong Sweet Falls,25.5551,91.8797, Waterfall
Kolkata Millenium Park,22.5565,88.3403, Park
Kolkata Princep Ghat,22.5585,88.3305, Scenic
Khajuraho Chaturbhuj Temple,24.847,79.9274, Religious
Goa Shantadurga Temple,15.4026,74.0083, Religious
Lucknow Janeshwar Mishra Park,26.8718,80.9347, Park
Shimla Jakhu Temple,31.1107,77.1826, Religious
Rishikesh Ganga Aarti at Triveni Ghat,30.1108,78.3101, Cultural
Delhi National Handicrafts & Handlooms Museum,28.5732,77.2063, Museum
Puri Narendra Tank,19.7983,85.8254, Scenic
Shillong Rhino Heritage Museum,25.5613,91.8802, Museum
Rishikesh Tera Manzil Temple,30.1086,78.319, Religious
Kolkata Nehru Children's Museum,22.5466,88.3448, Museum
Lucknow Ambedkar Memorial Park,26.8461,80.9332, Park
Khajuraho State Museum of Tribal and Folk Art,24.8534,79.9232, Museum
Delhi Akshardham Temple,28.6127,77.2773, Religious
Shimla Annandale Ground,31.103,77.1726, Recreation
Pune Shinde Chhatri,18.5395,73.8794, Historical
Rishikesh Laxman Jhula,30.1332,78.3153, Scenic
Delhi Jantar Mantar,28.6271,77.2166, Historical
Shillong Butterfly Museum,25.5838,91.8835, Museum
Khajuraho Lakshmana Temple,24.8519,79.9246, Religious
Goa Anjuna Beach,15.551,73.7496, Beach
Pune National War Museum,18.5184,73.8557, Museum
Lucknow Kukrail Reserve Forest,26.7957,81.0006, Nature
Shimla Kufri Fun World,31.0972,77.2674, Adventure
Rishikesh Rajaji National Park,30.1302,78.3199, Wildlife
Delhi Raj Ghat,28.6415,77.2483, Historical
Khajuraho Devi Jagadambi Temple,24.8534,79.9232, Religious
Goa Dudhsagar Waterfalls,15.313,74.3143, Waterfall
Pune Osho Teerth Park,18.5052,73.8239, Park
Shimla Summer Hill,31.11,77.1832, Scenic
Delhi Qila Rai Pithora,28.535,77.2202, Historical
Shillong Mawphlang Sacred Forest,25.5212,91.9099, Nature
Khajuraho Archaeological Museum,24.8547,79.9181, Museum
Lucknow Baradari,26.8745,80.9434, Historical
Shimla Himachal State Museum,31.1048,77.1734, Museum
Rishikesh The Triveni Ghat Arti,30.1055,78.3081, Cultural
Kolkata Mother's Wax Museum,22.5562,88.3537, Museum
Pune Peshwa Udyan Zoo,18.4961,73.8756, Wildlife
Rishikesh Neelkanth Mahadev Temple,30.1008,78.3081, Religious
Varanasi Manikarnika Ghat,25.312,83.0082, Cultural
Delhi National Rail Museum,28.5873,77.1732, Museum
Shimla Tara Devi Temple,31.0529,77.2247, Religious
Mumbai Global Vipassana Pagoda,19.0225,72.9151, Religious
Varanasi Ramnagar Fort,25.3028,83.0102, Historical
Kolkata Acharya Jagadish Chandra Bose Indian Botanic Garden,22.5335,88.3322, Gardens
Lucknow Amrapali Water Park,26.8497,81.0111, Amusement Park
Shimla Viceregal Lodge,31.1065,77.1755, Historical
Rishikesh Geeta Bhawan,30.1208,78.3158, Religious
Delhi Dilli Haat,28.5731,77.2043, Cultural
Goa Casino Royale Goa,15.5371,73.7649, Entertainment
Pune Mulshi Dam,18.557,73.4191, Dam
Rishikesh Beatles Cathedral Gallery,30.1151,78.2944, Cultural
Kolkata Rabindra Sarobar,22.5142,88.3423, Park
Varanasi Kashi Vishwanath Temple,25.3078,83.0229, Religious
Shimla Green Valley,31.0536,77.2679, Scenic
Rishikesh Kunjapuri Devi Temple,30.1905,78.5082, Religious
Delhi National Handloom Designing Corporation,28.6203,77.2308, Shopping
Pune Chaturshringi Temple,18.5337,73.8282, Religious
Varanasi Sarnath,25.3858,83.0186, Historical
Lucknow Chattar Manzil,26.8574,80.922, Historical
Shimla Kufri,31.0982,77.2674, Adventure
Delhi Bangla Sahib Gurudwara,28.6271,77.2086, Religious
Shillong Cathedral of Mary Help of Christians,25.5684,91.8846, Religious
Goa Baga Beach,15.5474,73.7544, Beach
Pune Rajiv Gandhi Zoological Park,18.5011,73.8391, Wildlife
Varanasi Tulsi Ghat,25.2975,83.0066, Cultural
Kolkata Birla Academy of Art & Culture,22.5248,88.3516, Cultural
Lucknow Nawab Wajid Ali Shah Zoological Garden,26.8439,80.9584, Wildlife
Rishikesh Triveni Ghat,30.1072,78.3093, Cultural
Delhi Shankar's International Dolls Museum,28.6204,77.2271, Museum
Shillong Air Force Museum,25.5786,91.8795, Museum
Varanasi Dashashwamedh Ghat,25.3054,83.0059, Cultural
Shimla Gaiety Heritage Cultural Complex,31.1048,77.1734, Cultural
Shillong Beadon Bishop Falls,25.5654,91.8834, Waterfall
Lucknow Gautam Buddha Park,26.9175,81.0027, Park
Kolkata Jorasanko Thakur Bari,22.5924,88.3662, Historical
Goa Calangute Beach,15.5505,73.7547, Beach
Pune Parvati Hill,18.509,73.8462, Scenic
Varanasi Assi Ghat,25.2984,83.0052, Cultural
Shimla Indian Institute of Advanced Study,31.1048,77.1734, Historical
Rishikesh Neer Garh Waterfall,30.153,78.3307, Waterfall
Delhi Swaminarayan Akshardham Water Show,28.6127,77.2773, Entertainment
Goa Dudhsagar Plantation and Farmstay,15.3745,74.155, Plantation
Delhi National Crafts Museum,28.617,77.2458, Museum
Goa Fort Aguada,15.4983,73.7497, Historical
Pune Shreemant Dagdusheth Halwai Ganpati Temple,18.514,73.8567, Religious
Varanasi Kedar Ghat,25.3088,83.0054, Cultural
Shimla Johnnie's Wax Museum,31.1048,77.1734, Museum
Rishikesh Raghunath Temple,30.1161,78.3142, Religious
Delhi Hauz Khas Village,28.5535,77.1955, Cultural
Lucknow Sikandar Bagh,26.8699,80.9464, Historical
Goa Colva Beach,15.2636,73.9412, Beach
Pune Vetal Tekdi,18.5119,73.8253, Nature
Varanasi Bharat Mata Temple,25.3,83.0058, Religious
Shimla Army Heritage Museum,31.1048,77.1734, Museum
Delhi Lajpat Nagar Central Market,28.5675,77.2437, Shopping
Shillong Spread Eagle Falls,25.5595,91.8802, Waterfall
Goa Tito's Lane,15.5459,73.7511, Nightlife
Pune Katraj Snake Park,18.4547,73.8532, Wildlife
Shillong Wards Lake,25.581,91.8785, Scenic
Goa Anjuna Flea Market,15.5524,73.7416, Shopping
Varanasi Chet Singh Ghat,25.3072,83.0122, Cultural
Shimla Bhuri Singh Museum,31.1035,77.1722, Museum
Delhi Chhatarpur Temple,28.5112,77.1757, Religious
Shimla Gorton Castle,31.1012,77.172, Historical
Pune Vetal Tekdi,18.53,73.8431, Nature
Munnar Pothamedu Viewpoint,10.0785,77.069, Scenic
Rishikesh Parmarth Niketan Ghat,30.1083,78.3153, Spiritual
Agra Tomb of Akbar the Great,27.1626,78.0542, Historical
Varanasi Durga Kund Temple,25.3114,83.007, Religious
Lucknow Rumi Darwaza,26.8663,80.9403, Historical
Kolkata Jaldapara Wildlife Sanctuary,26.7281,89.3209, Wildlife
Jaipur City Palace,26.925,75.8237, Historical
Pondicherry Pondicherry Botanical Garden,11.9236,79.8351, Gardens
Mysore Railway Museum,12.3098,76.6613, Museum
Shillong Spread Eagle Falls,25.5784,91.8749, Waterfall
Kolkata Prinsep Ghat,22.5472,88.3292, Scenic
Kolkata Calcutta Botanical Garden,22.5446,88.3407, Gardens
Khajuraho Adinatha Temple,24.8564,79.9182, Religious
Goa Reis Magos Fort,15.5272,73.7495, Historical
Pune Blades of Glory Cricket Museum,18.5079,73.7865, Museum
Lucknow Gautam Buddha Park,26.8422,80.9439, Park
Shimla Viceregal Lodge,31.1023,77.1802, Historical
Rishikesh Geeta Bhawan,30.1091,78.3187, Spiritual
Delhi National Museum,28.613,77.219, Museum
Jaipur Sisodia Rani Garden,26.8839,75.8047, Gardens
Kolkata Salt Lake City Centre,22.5735,88.435, Shopping
Puri Narendra Pokhari,19.8112,85.8416, Scenic
Shillong Mawjymbuin Cave,25.6166,91.8655, Adventure
